h TIF V1.2.1 MEDICI_LOG 2012.06-0 16-Mar-2023 00:35:15 main.inp
cd GEN          blnk               blnk          blnk        cart2D    1.00000E+00  0.00000E+00  0.00000E+00
dset MEDICI_DATA
di  time                      V(Gate)                   VA(Gate)                  I(Gate)                   + 
di  IE(Gate)                  IH(Gate)                  ID(Gate)                  Q(Gate)                   + 
di  FE(Gate)                  HE(Gate)                  V(Substrate)              VA(Substrate)             + 
di  I(Substrate)              IE(Substrate)             IH(Substrate)             ID(Substrate)             + 
di  Q(Substrate)              FE(Substrate)             HE(Substrate)             V(Source)                 + 
di  VA(Source)                I(Source)                 IE(Source)                IH(Source)                + 
di  ID(Source)                Q(Source)                 FE(Source)                HE(Source)                + 
di  V(Drain)                  VA(Drain)                 I(Drain)                  IE(Drain)                 + 
di  IH(Drain)                 ID(Drain)                 Q(Drain)                  FE(Drain)                 + 
di  HE(Drain)                 II                        
# 
du  seconds                   Volts                     Volts                     Amps/um                   + 
du  Amps/um                   Amps/um                   Amps/um                   Coul/um                   + 
du  Amps/um                   Amps/um                   Volts                     Volts                     + 
du  Amps/um                   Amps/um                   Amps/um                   Amps/um                   + 
du  Coul/um                   Amps/um                   Amps/um                   Volts                     + 
du  Volts                     Amps/um                   Amps/um                   Amps/um                   + 
du  Amps/um                   Coul/um                   Amps/um                   Amps/um                   + 
du  Volts                     Volts                     Amps/um                   Amps/um                   + 
du  Amps/um                   Amps/um                   Coul/um                   Amps/um                   + 
du  Amps/um                   Amps/um                   
# 
dd      0.000000000000000E+00     2.500000000000000E-01     2.500000000000000E-01     4.309014688498131E-26 + 
dd     -1.019887811181589E-36     4.309014688600120E-26     0.000000000000000E+00    -3.572961073023499E-14 + 
dd      0.000000000000000E+00     0.000000000000000E+00     0.000000000000000E+00     0.000000000000000E+00 + 
dd     -6.617137400056854E-20    -6.258038012279008E-20    -3.590993877778452E-21     0.000000000000000E+00 + 
dd     -1.158154655868664E-18     0.000000000000000E+00     0.000000000000000E+00     0.000000000000000E+00 + 
dd      0.000000000000000E+00    -6.856652724071228E-24    -6.856652987661928E-24     2.635906997570931E-31 + 
dd      0.000000000000000E+00    -1.210180427311162E-12     0.000000000000000E+00     0.000000000000000E+00 + 
dd      1.250000000000000E-02     1.250000000000000E-02     6.617822921479990E-20     6.258723524196640E-20 + 
dd      3.590993972833499E-21     0.000000000000000E+00    -1.210171910751436E-12     0.000000000000000E+00 + 
dd      0.000000000000000E+00     0.000000000000000E+00 
# 
dd      0.000000000000000E+00     5.000000000000000E-01     5.000000000000000E-01     3.711797309759685E-20 + 
